,PairID,SentencePair
0,f_pp_0,"['In relationships, body language communicates a great deal for both males and females.', 'the eyes talk, hands talk, all the body shows it when a guy like a girl, and vice versa.']"
1,f_pp_1,"['You are a good songwriter.', ""hey you don't need to ask any one for lyrics .""]"
2,f_pp_10,"['You deserve someone who sees the potential in you.', ""If she can't see what a wonderful person you are, then she is not the one for you...""]"
3,f_pp_100,"['Using the ""Just Say No"" motto depends on the circumstances.', ""Just say No Depends what you're saying no to.""]"
4,f_pp_101,"['You had answered my previous question. What a woman expects from a man she marries?', 'U had answred my Q: What a gul expect fr a boy when she get married?']"
5,f_pp_102,"['Therefore I said that we should just remain friends.', 'So I told him that we should be friends.']"
6,f_pp_103,"['They did not help him and I feel really bad about that.', 'then left him hanging and i feel really bad.']"
7,f_pp_104,"['You should try and form a relationship with her.', 'Not only should you try and date her!!!']"
8,f_pp_105,"['I think the fact that you called him means it would be appropriate to see him.', 'i think the fact that you called him means that your ok to see him.']"
9,f_pp_106,"['If you really love this one, you should tell her the truth, that you have been fornicating with two others.', 'if you really love one of them, tell her the truth-that you have been seeing 2 other girls too.']"
10,f_pp_107,"['I am going to tell you that you have no right to complain', ""Alright honey, I'm just gonna tell you flat out - you have no right to complain.""]"
11,f_pp_108,"['Your best friend or her boyfriend?', ""You're BEST FRIEND or her Boy friend?""]"
12,f_pp_109,"[""I really don't know; it's a random guess."", 'i dono jus a random guess']"
13,f_pp_11,"['I suggest you discuss this topic with others and read.', 'talk to people let it out and read']"
14,f_pp_110,"[""I'm still trying to find out, so if you find out first, please let me know."", 'Im still trying to find that out for myself if you find out tell me!']"
15,f_pp_111,"['I used to read the book often and I was overjoyed when my mother purchased the film.', 'I always used to read the book, and I was so happy when my mom bought the movie.']"
16,f_pp_112,"['I believe that you could earn some decent money for them on Ebay. Apologies that I was unable to answer your question.', ""I bet you could get a pretty penny for them on Ebay... (sorry I didn't answer your question)""]"
17,f_pp_113,"['As Ginger stated: when you are smart and successful, you can have anything you desire. Well, almost anything.', ""Like Ginger said when u're smart and successful u can hav anything u want(almost anything)""]"
18,f_pp_114,"['Just go easy on them. They are the best in the way that they are. After all, not everyone is like that. (Just kidding.)', '(JUST KIDDIND) JUST GO EASY ON THEM.THEY R THE BEST IN THE WAY THEY R.AFTERALL NOT EVERYONE R!!']"
19,f_pp_115,"['People always want things that they cannot obtain.', ""People always want what they can't have.""]"
20,f_pp_116,"['They are classier and are better, what should I say?', 'THEY HAVE MORE CLASS AND ARE MORE> WHAT SHOULD I SAY?']"
21,f_pp_117,"['If you ask him you are being honest to your thoughts.', 'And if you ask him your thinking your thoughts :)']"
22,f_pp_118,"['Just say, ""I just want to now! Do you like me as a friend, or something more?', 'just say i just want to now!Do u like me as a friend or something more?']"
23,f_pp_119,"['If he is good looking and has a good personality, he might be straight - but is more likely bisexual.', ""If he's good looking, and a good personality, he MIGHT be straight, but more likely bi.""]"
24,f_pp_12,"['Invite her to your home and watch a pornographic movie together.', 'invite her over and pop in a porno']"
25,f_pp_120,"['The basis of Journalism 101 taught on the first day is ""if it bleeds, it leads,"" which is unfortunately true.', 'journalism 101--first day if it bleeds, it leads sad, but true']"
26,f_pp_121,"[""If she mentioned that she just wants to be friends, then it's too late."", 'If she has said she just wants to be friends it is already too late.']"
27,f_pp_122,"['The bench warmers were having macaroni and cheese. (I understand I messed up that line).', 'benchwarmers as well aww yes were having macaroni and cheese awsome(i know i butchered that line but oh well)']"
28,f_pp_123,"['Your parents do not have to like your boyfriend, you do.', 'your parents dont have to like your bf, you do.']"
29,f_pp_124,"['Maybe because they just do not have any sense and do not realize what they have until it is gone.', ""maybe because they just don't have any since and don'T REALIZE WHAT THEY HAVE UNTIL THERE GONE!!!!!!!!!!!!!""]"
30,f_pp_125,"['There is no blood relation, so it is not like he is your blood brother.', 'well theres no blood relation so no its nto like he is your blood brother']"
31,f_pp_126,"['No, of course not, but if your husband or wife caught you then it is.', 'No ofcourse, But if your husband/wife caught you then it is.. lol']"
32,f_pp_127,"['I would like to hear your side of the story.', 'i want to hear ur side']"
33,f_pp_128,"['I will need and picture and information first, such as who you are.', 'i need pic first and info who are you?']"
34,f_pp_129,"['None of her fans do, why?', 'just enjoy her music, but non of her fans, why?']"
35,f_pp_13,"['I wish to discern whether or not he is a good fit for your positive physical and intellectual qualities.', '!I wanna see if he is THE BEST MATCH FOR UR BEAUTY N INTELLIGENCE!!']"
36,f_pp_130,"['It is a big world out there and you just need to jump back in there!', ""It's a big world out there and it's waiting for you to jump back in better than ever before!""]"
37,f_pp_131,"['Your questions do not make any sence.', 'your questions dont make no sense!!!!!!']"
38,f_pp_132,"['As you can barely sing or talk, I have little faith in your writing skills.', 'ne yo can barely sing or talk never mind write.']"
39,f_pp_133,"['I do not know anything about her father', 'I dont know about her father.']"
40,f_pp_134,"['Get every known answer to man.', 'to,and get every known answewr to man.']"
41,f_pp_135,"['One of a Kind is a good song.', ""'One Of A Kind' by Breaking Point.""]"
42,f_pp_136,"['When I tried again, I was able to juggle.', 'When i went back to it, i was able to juggle!']"
43,f_pp_137,"['Something that demonstrates your love for them.', 'something that show you love them']"
44,f_pp_138,"[""It enjoy them talking real fast. It's funny."", 'It like they talk real fast allt he time and its funny']"
45,f_pp_139,"['I can not see it myself, but I have had quite a few people say it now.', ""I can't see it myself but i've had quite a few people say it now.""]"
46,f_pp_14,"['It is due to them not truly being in love with you.', ""Because they really don't love you.""]"
47,f_pp_140,"[""Aren't there enough problems in this world already?"", 'are there not enough problems with this world?']"
48,f_pp_141,"['It might be genetic or he might like dark colored make-up on his nose.', 'maybe its genetic...or maybe he likes dark makeup on his nose!!!']"
49,f_pp_142,"['The only thing that you can tell by his looks, is that he is hot amd that you want him!', 'the only thing you can tell by looking at him is if hes hot and you want him!!!!']"
50,f_pp_143,"['I very much enjoy Billy Talent. They are one of my favorite groups.', 'I just love Billy Talent, they are one of my favourites.']"
51,f_pp_144,"['I have no clue as to why people are giving rude answers.', ""i don't know why all the people keep giving rude answers.""]"
52,f_pp_145,"['Possibly it is similar to flying - you throw yourself at the ground and miss.', ""Maybe it's like flying...you throw yourself at the ground and miss.""]"
53,f_pp_146,"['I missed it as well because I was working.', 'I was working, so I missed it too.']"
54,f_pp_147,"['You need to get an agent and make sure you get paid before paying anyone else.', ""Get an agent...and don't pay anyone until you get paid.""]"
55,f_pp_148,"['I like that song if it is the right song.', ""I LIKE THAT SONG IF IT'S THE RIGHT SONG ;)""]"
56,f_pp_149,"['I loved it and it was a really good movie.', 'i loved it is was a realy good movie.']"
57,f_pp_15,"['What do think his motive is?', 'Why would you even think he is going to?']"
58,f_pp_150,"['Dragon Ball Z I believe is downloadable. Go to the portion when Goku is small. I think I spelled his name correctly.', 'Dragon Ball Z I think Is DB gt when goku (I think I spelled his name right) is small?']"
59,f_pp_151,"['I know you hesitantly want an affirmative response; you should.', 'i know you kind of want a yes, you should.']"
60,f_pp_152,"['It is my cousins, with whom I live.', 'my cousins with who I live']"
61,f_pp_153,"['Would you like to see a movie with me on Friday?', 'i was wondering if you wanted to go see a movie with me on friday?']"
62,f_pp_154,"['That song will be played by guys to their girl friends.', 'And guys will play that song for their girlfriend or something.']"
63,f_pp_155,"['Click on the Media Player, then start ripping stuff from the disk. Let it finish and you are done.', 'MEADIA PLAYER CLICK IT START RIPING STUFF OUT OF DA DISK YOR R DONE LET IT FINSH !!!']"
64,f_pp_156,"['If you make her feel comfortable, then she will like you.', 'So u make her feel comfortable then she will like u.']"
65,f_pp_157,"['Similar to how I alphabetize my CD collection, certain things have to be done in a particular way.', 'Like I alphabetize my CD collection and certain things have to be just so.']"
66,f_pp_158,"['What other programs have you watched on the SciFi station. I have not watched the other station. What is the channel number?', 'and what else have you watched on scifi i havent watched the other station what channel is it on?']"
67,f_pp_159,"['To borrow a phrase from Holden Caufield, ""phonies"".', 'Taking a word from Holden Caulfield here...Phonies']"
68,f_pp_16,"['I like Tess but Jessica is too much of a goody-goody!', 'I like Tess,Jessica is to goody goody!']"
69,f_pp_160,"['No, I apologize; all I know is that it was a good movie.', 'no, sry, all i know was that it was a good movie']"
70,f_pp_161,"['Best of luck completing your task. If you get the answer right, you can earn 5 more points.', 'Good Luck and it would be worth another 5 points if you get your answer right?']"
71,f_pp_162,"['It is great! Take a look at my question.', 'it rocks take a look at my question']"
72,f_pp_163,"['You are too young to date or be in love.', 'To young to date or be in love!']"
73,f_pp_164,"['I will review the script.', 'sure i will read ur film script!']"
74,f_pp_165,"['If you do not comply it has problems written all over it.', ""if you don't then that just has problems written all over it.""]"
75,f_pp_166,"['How can I go about winning her back?', 'How do i win her back?']"
76,f_pp_167,"['I hae no problems with them.', 'lol i have no problems with them.']"
77,f_pp_168,"[""Why don't they ask you out?"", ""Why don't they move to be with you??""]"
78,f_pp_169,"['Yes I remember that it was very good.', 'Yea I remember it..it was pretty good']"
79,f_pp_17,"['I recommend that you and three friends who are women book an on-line cruise, because you will enjoy it.', 'So go get 3 of your best gal pals get on line and book a cruise...you will love it!']"
80,f_pp_170,"['You ought to begin your life anew.', 'you should start your life a new.']"
81,f_pp_171,"['Put the truck in reverse a little bit.', 'Back up the truck a bit.']"
82,f_pp_172,"[""I don't know why Kareena is with such an unattractive person like him."", 'i dont knw why kareena is with a fugly kid like him !..']"
83,f_pp_173,"['If they ask for money, tell them no. No agent should be paid until you have received the work.', '(if they ask for money, you say no.... no agent gets paid until you have gotten work.']"
84,f_pp_174,"['She does not hate you, she is just annoyed with you.', ""She doesn't hate you, she is just annoyed.""]"
85,f_pp_175,"['To retrieve lines, I suggest you go to www.rapbattles.com.', 'go to www.rapbattles.com that is a good website to get lines']"
86,f_pp_176,"['I have to go and get my shoulder blades worked on, we will talk soon.', ""Now..........I have to go have my shoulder blades worked on.......we'll talk soon.""]"
