Index,DocID,PairID,Score,Text
0,f_pp,f_pp_222,1.0,"It that happens, just pull the plug.
if that ever happens, just pull the plug."
1,sts,sts_237,1.0,"A black dog running through water.
A black dog is running through some water."
2,nmt_pp,nmt_pp_204,1.0,"I've been searchingthe entire abbey for you.
I'm looking for you all over the abbey."
3,f_pp,f_pp_119,1.0,"If he is good looking and has a good personality, he might be straight - but is more likely bisexual.
If he's good looking, and a good personality, he MIGHT be straight, but more likely bi."
4,f_pp,f_pp_174,1.0,"She does not hate you, she is just annoyed with you.
She doesn't hate you, she is just annoyed."
5,sts,sts_211,1.0,"Actor Gazzara dead at 81
Actor Ben Gazzara dies at 81"
6,f_pp,f_pp_277,1.0,"No, I really didn't want New York to win.
No i didn't want New york to win"
7,f_pp,f_pp_167,1.0,"I hae no problems with them.
lol i have no problems with them."
8,f_pp,f_pp_123,1.0,"Your parents do not have to like your boyfriend, you do.
your parents dont have to like your bf, you do."
9,f_pp,f_pp_194,1.0,"I think Taylor is really cute, but I hate his voice.
I think Taylor is SUPER cute...but I hate his voice."
10,sts,sts_163,1.0,"A light brown dog runs down a path happily.
A pale dog runs down a path."
11,f_pp,f_pp_255,1.0,"The four year old in your trunk.
The 4 Year old in your trunk"
12,f_pp,f_pp_233,1.0,"You might find out later, that you lost the perfect one.
u might find out later you lost the perfect one."
13,f_pp,f_pp_121,1.0,"If she mentioned that she just wants to be friends, then it's too late.
If she has said she just wants to be friends it is already too late."
14,sts,sts_181,1.0,"A man is pouring rice a roni into a pan.
A man poured ric-a-roni into a pan."
15,f_pp,f_pp_199,1.0,"Guys can be weird. I should know.
Guys can be wierd; I should know."
16,sts,sts_249,1.0,"A brown dog is jumping.
A brown dog is jumping"
17,w_pp,w_pp_86,1.0,"Fritz Laband was a German footballer .
Fritz Laband is a former German football player ."
18,f_pp,f_pp_225,1.0,"Do not believe this guy for an instant.
Don't believe this guy for an instant."
19,f_pp,f_pp_208,1.0,"Especially if you really like him and know he is shy.
especially if you really like him and know he's shy."
20,sts,sts_230,1.0,"A man at a farmers market.
A man is at a farmers market."
21,w_pp,w_pp_220,1.0,"The population was 517 at the 2000 census .
The population is 517 people as of 2000 ."
22,nmt_pp,nmt_pp_116,1.0,"Breathe deeply, make the most of the air.
take a deep breath, let the air flow in."
23,f_pp,f_pp_76,1.0,"If you happen to see me before I return, please remind me to wait.
If you should see me before I get back...please ask me to wait."
24,f_pp,f_pp_231,1.0,"Why have you not yet told them?
Why haven't you told them yet?"
25,f_pp,f_pp_227,1.0,"I'm more comfortable when it is raining.
i'm actually more comfortable when it's raining."
26,w_pp,w_pp_60,0.969,"The Romans had a special kind of enclosure known as glirarium used to rear dormice for the table .
The Romans had a special place to keep dormice which was called a glirarium ."
27,f_pp,f_pp_294,0.969,"It's leo's and I don't like leo.
it's leo's.......... :( i hate leo."
28,f_pp,f_pp_259,0.969,"Because Pittsburgh is wonderful and everyone wishes they could live there.
because pittsburgh is awesome and everyone wishes they lived there!"
29,f_pp,f_pp_136,0.969,"When I tried again, I was able to juggle.
When i went back to it, i was able to juggle!"
30,f_r,f_r_139,0.969,"Have you ever watched the movie ""Robin Hood:Prince of Thieves""?
ever watched the movie 'Robin Hood; Prince of Thieves'?"
31,f_r,f_r_479,0.969,"i was kidding about the gilligans baby thing...promise!
I was kidding about the gilligants baby thing."
32,sts,sts_245,0.969,"Two dogs are peeing at a red fire hydrant.
Two dogs are urinating on the red fire hydrant."
33,nmt_pp,nmt_pp_55,0.969,"I had a big breakthrough on that skirt I was working on.
I've made some progress with the skirt I'm working on."
34,w_pp,w_pp_136,0.969,"The population was 127 at the 2000 census .
The population is 127 people as of 2000 ."
35,f_pp,f_pp_95,0.969,"Do not fall for a girl, rather, let girls fall for you.
P.S : Dont fall for a girl.. let girls fall for you!!"
36,nmt_pp,nmt_pp_75,0.969,"It was supposed to be such a great moment for me as a dad.
for me as a father, it should have been an amazing moment."
37,w_pp,w_pp_157,0.969,"George , Eliza , and Harry have also obtained their freedom after crossing into Canada .
George , Eliza , and Harry have finally reached Canada and become free ."
38,nmt_pp,nmt_pp_241,0.969,"I've been a good boss, though, haven't I?
but I was a good boss, right?"
39,f_pp,f_pp_280,0.969,"We had a great time in Vegas!
We had a blast in Vegas!"
40,w_pp,w_pp_18,0.969,"It is sometimes referred to as the trunk .
Some people also call it the trunk ."
41,f_pp,f_pp_240,0.969,"Yes, I am a girl and I like video games.
and yes i am a girl who likes video games."
